Project,Group,Key,Issuetype,Status,Created Date,Component,Category,First Date,Closed Date,New,In Specification,Open,In Progress,In Review,Pending,Resolved,Closed,Resolution 
Transformation Product Accounts Payable,,TRANSAP-38,Story,New,05.04.2022 15:43:12,Dokumentenmanagement|Prozess-MGMT, agile Transformation|,,,,568597,0,0,0,0,0,0, 
Transformation Product Accounts Payable,,TRANSAP-30,Story,New,31.03.2022 10:11:23,MPM, Rollout, Test MGMT|,,,,576129,0,0,0,0,0,0, 
Transformation Product Accounts Payable,,TRANSAP-29,Story,New,31.03.2022 09:55:27,Kreditorenbuchhaltung|MPM, Rollout, Test MGMT|Rechnungsprüfung|,,,,576145,0,0,0,0,0,0, 
PKT Test Data Management,,PKTTDM-29,Story,Closed,09.07.2021 10:55:13,POQ|PRI10|,,13.07.2021 12:33:00,09.08.2022 16:38:17,5857,0,14470,147123,38527,364602,0,387102,Done 
PKT Rekla 2025,,PKTREKLA-8875,Defect,In Progress,14.09.2022 11:29:34,BCM|Defect_PROTON|,,14.09.2022 11:57:47,,28,0,0,335543,0,0,0,0, 
PKT Rekla 2025,,PKTREKLA-6129,Defect,Closed,05.04.2022 07:41:54,Defect_PROTON|,,31.05.2022 18:36:19,30.06.2022 16:17:35,81294,0,0,0,39161,0,3898,444724,Duplicate 
PROTON R/3 - S/4 HANA Migration,,PKTMIGR-504,Defect,Closed,17.02.2022 11:52:09,,,31.08.2022 16:01:07,31.08.2022 16:01:07,281048,0,0,0,0,0,0,355459,Rejected 
PKT 2025 - Cluster FI,,PKTFIN-10626,Task,Resolved,23.11.2022 14:55:41,AP|STARD|,,23.11.2022 14:57:21,29.11.2022 08:27:31,1,0,0,7226,1023,0,226313,0,Done 
PKT 2025 - Cluster FI,,PKTFIN-10609,Test,Ready,21.11.2022 14:07:48,AP|PKT/GFBB|Template|,,21.11.2022 14:21:29,,13,0,237479,0,0,0,0,0, 
PKT 2025 - Cluster FI,,PKTFIN-10562,Test,New,17.11.2022 15:25:37,AP|,,,,243175,0,0,0,0,0,0, 
PKT 2025 - Cluster FI,,PKTFIN-10461,Test,New,14.11.2022 21:05:29,AP|,,,,247155,0,0,0,0,0,0, 
PKT 2025 - Cluster FI,,PKTFIN-10333,Defect,Open,10.11.2022 15:42:49,AP|,,22.11.2022 15:47:53,,17285,0,235952,0,0,0,0,0, 
PKT 2025 - Cluster FI,,PKTFIN-10329,Test,New,10.11.2022 14:20:59,AP|,,,,253319,0,0,0,0,0,0, 
PKT 2025 - Cluster FI,,PKTFIN-10245,Test,Ready,09.11.2022 09:05:55,AP|,,17.11.2022 10:42:58,,11617,0,243457,0,0,0,0,0, 
PKT 2025 - Cluster FI,,PKTFIN-9833,Task,New,20.10.2022 12:06:03,AP|PKT/GFBB|Template|,,,,283694,0,0,0,0,0,0, 
PKT 2025 - Cluster FI,,PKTFIN-9801,Task,Closed,18.10.2022 15:01:57,AP|PKT/GFBB|Template|,,26.10.2022 13:51:29,14.11.2022 08:01:06,11449,0,2722,4369,119,0,19796,247939,Done 
PKT 2025 - Cluster FI,,PKTFIN-9800,Task,New,18.10.2022 14:53:48,AP|PKT/GFBB|Template|,,,,286407,0,0,0,0,0,0, 
PKT 2025 - Cluster FI,,PKTFIN-9795,Task,Closed,18.10.2022 10:18:41,AP|PKT/GFBB|Template|,,26.10.2022 13:51:21,21.11.2022 07:40:51,11732,0,17258,1350,11405,0,7054,237879,Done 
PKT 2025 - Cluster FI,,PKTFIN-9600,Test,New,01.10.2022 13:17:06,AP|,,,,310983,0,0,0,0,0,0, 
PKT 2025 - Cluster FI,,PKTFIN-9475,Defect,Closed,15.09.2022 09:37:41,PKTFIN relevant|,,15.09.2022 14:02:54,27.09.2022 11:09:27,265,0,0,8417,11,0,8677,316871,Fixed 
PKT 2025 - Cluster FI,,PKTFIN-9474,Defect,Closed,15.09.2022 09:49:44,PKTFIN relevant|,,15.09.2022 14:02:44,27.09.2022 11:09:26,253,0,0,15819,0,0,1287,316871,Fixed 
PKT 2025 - Cluster FI,,PKTFIN-9461,Defect,Closed,13.09.2022 13:59:12,PKTFIN relevant|,,13.09.2022 14:34:11,15.09.2022 16:46:10,34,0,0,240,1480,182,951,333970,Fixed 
PKT 2025 - Cluster FI,,PKTFIN-9460,Defect,Closed,13.09.2022 15:35:55,PKTFIN relevant|,,13.09.2022 17:20:14,13.09.2022 17:20:14,104,0,0,0,0,0,0,336660,Rejected 
PKT 2025 - Cluster FI,,PKTFIN-9453,Task,Closed,15.09.2022 11:14:20,AP|PKT/GFBB|Template|,,15.09.2022 13:37:16,28.09.2022 10:42:12,142,0,10451,145,7947,0,0,315458,Done 
PKT 2025 - Cluster FI,,PKTFIN-9381,Story,Closed,13.09.2022 10:15:41,AP|PKT/GFBB|Template|,,14.09.2022 09:45:45,21.11.2022 14:40:55,1410,0,317,10150,2821,27,0,322357,Done 
