Project,Group,Key,Issuetype,Status,Created Date,Component,Category,First Date,Res,Closed Date,Funnel,In Analysis,Backlog,In Implementation,Blocker,Completed,Monitoring,Done,Resolution
The APP ART,,THEAPP-2040,Feature,Funnel,24.10.2022 08:37,Android|App ART Funnel|C3PO|iOS|,,,,,16208,0,0,0,0,0,0, ,
The APP ART,,THEAPP-2039,Feature,Funnel,24.10.2022 06:15,Panda|,,,,,16349,0,0,0,0,0,0, ,
The APP ART,,THEAPP-2038,Feature,Funnel,24.10.2022 04:07,Greatwall|,,,,,16477,0,0,0,0,0,0, ,
The APP ART,,THEAPP-2035,Feature,Funnel,21.10.2022 09:01,Greatwall|,,,,,20504,0,0,0,0,0,0, ,
The APP ART,,THEAPP-2034,Feature,Funnel,20.10.2022 19:12,JARVIS|,,,,,21333,0,0,0,0,0,0, ,
The APP ART,,THEAPP-2033,Feature,Funnel,20.10.2022 11:49,,,,,,21776,0,0,0,0,0,0, ,
The APP ART,,THEAPP-2032,Feature,Funnel,20.10.2022 10:37,Panda|,,,,,21847,0,0,0,0,0,0, ,
The APP ART,,THEAPP-2030,Feature,Funnel,19.10.2022 17:38,Android|App ART Funnel|C3PO|iOS|,,,,,22867,0,0,0,0,0,0, ,
The APP ART,,THEAPP-2029,Feature,Funnel,19.10.2022 17:25,Android|C3PO|iOS|Mario|,,,,,22879,0,0,0,0,0,0, ,
The APP ART,,THEAPP-2028,Feature,Funnel,19.10.2022 17:17,Android|App ART Funnel|C3PO|iOS|,,,,,22887,0,0,0,0,0,0, ,
The APP ART,,THEAPP-2027,Feature,Backlog,19.10.2022 14:11,App ART Funnel|BOND|P&S|Release 3.2|,,19.10.2022 14:50, ,,0,39,23034,0,0,0,0,0, 
The APP ART,,THEAPP-2026,Feature,Backlog,19.10.2022 14:08,App ART Funnel|BOND|P&S|Release 3.2|,,19.10.2022 14:50, ,,0,41,23034,0,0,0,0,0, 
The APP ART,,THEAPP-2023,Feature,Funnel,19.10.2022 09:37,Greatwall|Panda|Release 4.0|,,,,,23347,0,0,0,0,0,0, ,
The APP ART,,THEAPP-2022,Feature,Funnel,17.10.2022 16:01,,,,,,25844,0,0,0,0,0,0, ,
The APP ART,,THEAPP-2021,Feature,Funnel,17.10.2022 10:13,Griffin|,,,,,26192,0,0,0,0,0,0, ,
The APP ART,,THEAPP-2017,Feature,Funnel,11.10.2022 13:24,Pikachu|,,,,,34641,0,0,0,0,0,0, ,
The APP ART,,THEAPP-2016,Feature,Funnel,11.10.2022 11:06,Panda|,,,,,34778,0,0,0,0,0,0, ,
The APP ART,,THEAPP-2015,Feature,Funnel,11.10.2022 10:49,Panda|,,,,,34796,0,0,0,0,0,0, ,
The APP ART,,THEAPP-2014,Feature,Funnel,11.10.2022 10:38,Panda|,,,,,34807,0,0,0,0,0,0, ,
The APP ART,,THEAPP-2013,Feature,Funnel,11.10.2022 10:16,Stromberg|,,,,,34828,0,0,0,0,0,0, ,
The APP ART,,THEAPP-2012,Feature,Funnel,11.10.2022 09:24,Pikachu|,,,,,34880,0,0,0,0,0,0, ,
The APP ART,,THEAPP-2011,Feature,Funnel,11.10.2022 09:21,Pikachu|,,,,,34883,0,0,0,0,0,0, ,
The APP ART,,THEAPP-2010,Feature,Funnel,11.10.2022 08:32,Stromberg|,,,,,34933,0,0,0,0,0,0, ,
The APP ART,,THEAPP-2009,Feature,Funnel,11.10.2022 08:27,Stromberg|,,,,,34937,0,0,0,0,0,0, ,
The APP ART,,THEAPP-2008,Feature,Done,11.10.2022 08:24,,,11.10.2022 09:49,Won't Do ,11.10.2022 09:49,0,85,0,0,0,0,0,34856,Won't Do 
The APP ART,,THEAPP-2007,Feature,Funnel,10.10.2022 17:56,Stromberg|,,,,,35808,0,0,0,0,0,0, ,
The APP ART,,THEAPP-2006,Feature,Funnel,10.10.2022 17:55,Stromberg|,,,,,35810,0,0,0,0,0,0, ,
The APP ART,,THEAPP-2005,Feature,Funnel,10.10.2022 17:50,Stromberg|,,,,,35814,0,0,0,0,0,0, ,
The APP ART,,THEAPP-2004,Feature,Funnel,10.10.2022 17:41,,,,,,35824,0,0,0,0,0,0, ,
The APP ART,,THEAPP-2003,Feature,Funnel,10.10.2022 17:06,Stark|,,,,,35858,0,0,0,0,0,0, ,
The APP ART,,THEAPP-2002,Feature,Funnel,10.10.2022 16:56,Griffin|,,,,,35868,0,0,0,0,0,0, ,
