,Project,Group,Key,Issuetype,Status,Created Date,Component,Category,First Date,Closed Date,New,In Specification,Open,In Progress,In Review,Pending,Resolved,Closed,Resolution,CycleDays
37,PKT 2025 - Cluster FI,,PKTFIN-12787,Task,Closed,06.04.2023 15:18:48,AP|PKT/GFBB|Template|,,06.04.2023 15:35:07,2023-04-14 09:45:25,16,0,0,11169,0,0,0,56466.0,Done,7.76
39,PKT 2025 - Cluster FI,,PKTFIN-12641,Task,Closed,04.04.2023 08:57:14,AP|PKT/GFBB|Template|,,04.04.2023 09:22:07,2023-04-24 15:05:09,24,0,20541,8577,23,0,0,41746.0,Done,20.24
40,PKT 2025 - Cluster FI,,PKTFIN-12626,Task,Closed,03.04.2023 15:22:12,AP|MU80|PKT/GFBB|Template|,,03.04.2023 15:23:12,2023-04-24 15:33:05,1,0,4228,25969,51,0,0,41718.0,Done,21.01
48,PKT 2025 - Cluster FI,,PKTFIN-12480,Task,Closed,30.03.2023 17:18:10,AP|PKT/GFBB|Template|,,30.03.2023 17:29:50,2023-04-12 10:59:05,11,0,9913,1,8414,0,0,59272.0,Done,12.73
52,PKT 2025 - Cluster FI,,PKTFIN-12298,Task,Closed,13.03.2023 16:34:32,AP|PKT/GFBB|Template|,,13.03.2023 16:37:14,2023-03-31 11:08:18,2,0,4218,21353,18,0,0,76543.0,Done,17.77
67,PKT 2025 - Cluster FI,,PKTFIN-12213,Task,Closed,28.02.2023 19:56:31,AP|MU80|,,01.03.2023 08:34:53,2023-04-26 18:12:47,758,0,17495,21422,40324,0,1974,38679.0,Done,55.03
70,PKT 2025 - Cluster FI,,PKTFIN-11842,Task,Closed,20.02.2023 21:42:33,AP|,,28.02.2023 16:50:48,2023-04-26 18:12:45,11228,0,18614,60482,0,0,3064,38679.0,Done,54.93
72,PKT 2025 - Cluster FI,,PKTFIN-11840,Task,Closed,20.02.2023 21:41:18,AP|,,28.02.2023 16:50:55,2023-04-24 14:16:08,11229,0,50018,29026,0,0,0,41795.0,Done,54.89
73,PKT 2025 - Cluster FI,,PKTFIN-11839,Task,Closed,20.02.2023 21:40:57,AP|,,28.02.2023 16:50:57,2023-04-24 14:15:45,11230,0,18615,60429,0,0,0,41796.0,Done,54.89
74,PKT 2025 - Cluster FI,,PKTFIN-11838,Task,Closed,20.02.2023 21:40:18,AP|,,28.02.2023 16:51:03,2023-04-26 18:12:44,11230,0,8575,71840,0,0,1745,38679.0,Done,55.84
75,PKT 2025 - Cluster FI,,PKTFIN-11837,Task,Closed,20.02.2023 20:43:02,AP|,,28.02.2023 16:51:05,2023-04-26 18:12:47,11288,0,80422,0,0,0,1739,38679.0,Done,55.85
77,PKT 2025 - Cluster FI,,PKTFIN-11834,Task,Closed,20.02.2023 20:34:37,AP|MU80|,,28.02.2023 16:48:04,2023-04-26 18:12:44,11293,0,79101,0,0,0,3063,38679.0,Done,54.93
78,PKT 2025 - Cluster FI,,PKTFIN-11833,Task,Closed,20.02.2023 20:32:36,AP|MU80|,,28.02.2023 16:48:12,2023-04-26 18:12:45,11295,0,80422,0,0,0,1742,38679.0,Done,55.85
79,PKT 2025 - Cluster FI,,PKTFIN-11832,Task,Closed,20.02.2023 20:30:49,AP|MU80|,,28.02.2023 16:51:20,2023-04-26 18:12:46,11300,0,80422,0,0,0,1739,38679.0,Done,55.85
80,PKT 2025 - Cluster FI,,PKTFIN-11831,Task,Closed,20.02.2023 20:30:25,AP|MU80|,,28.02.2023 16:51:26,2023-04-26 18:12:46,11301,0,80419,0,0,0,1742,38679.0,Done,55.85
81,PKT 2025 - Cluster FI,,PKTFIN-11830,Task,Closed,20.02.2023 20:28:50,AP|MU80|,,28.02.2023 16:51:33,2023-04-26 18:12:48,11302,0,80422,0,0,0,1738,38679.0,Done,55.85
82,PKT 2025 - Cluster FI,,PKTFIN-11820,Task,Closed,20.02.2023 15:12:46,AP|PKT/GFBB|Template|,,21.02.2023 09:07:33,2023-03-15 16:21:00,1074,0,1941,26985,228,0,2957,99270.0,Done,20.25
83,PKT 2025 - Cluster FI,,PKTFIN-11809,Task,Closed,17.02.2023 14:28:47,AP|PKT/GFBB|Template|,,17.02.2023 15:32:02,2023-04-18 14:03:16,63,0,7732,42481,36097,0,0,50448.0,Done,59.94
84,PKT 2025 - Cluster FI,,PKTFIN-11808,Task,Closed,17.02.2023 14:19:24,AP|PKT/GFBB|Template|,,21.02.2023 09:07:44,2023-04-04 09:02:40,5448,0,17895,37118,5460,0,0,70909.0,Done,42.0
87,PKT 2025 - Cluster FI,,PKTFIN-11596,Task,Closed,10.02.2023 11:09:49,AP|PKT/GFBB|Template|,,21.02.2023 09:07:39,2023-03-15 16:20:57,15717,0,10408,56,1452,68,20125,99270.0,Done,8.32
92,PKT 2025 - Cluster FI,,PKTFIN-11137,Task,Closed,30.01.2023 21:14:08,AP|PKT/GFBB|Template|,,31.01.2023 10:37:13,2023-02-23 13:56:03,803,0,1915,27150,2689,0,1563,128215.0,Done,22.05
94,PKT 2025 - Cluster FI,,PKTFIN-11107,Task,Closed,27.01.2023 11:12:12,AP|MU80|UH74|,,30.01.2023 16:57:51,2023-02-21 09:49:21,4665,0,31227,0,0,0,24,131342.0,Done,21.69
95,PKT 2025 - Cluster FI,,PKTFIN-11106,Task,Closed,27.01.2023 11:10:24,AP|MU80|UH74|,,30.01.2023 16:58:00,2023-02-23 13:56:03,4667,0,31365,0,0,0,3012,128215.0,Done,21.78
97,PKT 2025 - Cluster FI,,PKTFIN-11104,Task,Closed,27.01.2023 11:06:14,AP|MU80|UH74|,,30.01.2023 16:58:21,2023-02-21 08:47:25,4672,0,31188,0,0,0,0,131404.0,Done,21.66
