,Project,Group,Key,Issuetype,Status,Created Date,Component,Category,First Date,Closed Date,Funnel,In Analysis,Backlog,In Implementation,Blocker,Completed,Monitoring,Done,Resolution ,CycleDays
24,The APP ART,,THEAPP-2008,Feature,Done,11.10.2022 08:24:04,,,11.10.2022 09:49:05,11.10.2022 09:49:05,0,85,0,0,0,0,0,34856,Won't Do ,0.06
97,The APP ART,,THEAPP-1905,Feature,Done,06.09.2022 11:45:04,BOND|,,21.09.2022 09:22:48,21.09.2022 09:22:48,0,21457,0,0,0,0,0,63682,Duplicate ,14.9
114,The APP ART,,THEAPP-1886,Feature,Done,30.08.2022 08:51:24,Greatwall|Griffin|,,30.08.2022 09:50:41,14.09.2022 17:14:22,22042,59,0,0,0,0,0,73290,Not Required ,0.04
124,The APP ART,,THEAPP-1867,Feature,Done,17.08.2022 18:04:41,VICI|,,17.08.2022 18:05:58,18.08.2022 10:36:13,0,991,0,0,0,0,0,112569,Duplicate ,0.69
126,The APP ART,,THEAPP-1863,Feature,Done,16.08.2022 15:36:12,Pikachu|,,07.09.2022 10:48:12,23.09.2022 08:47:19,0,31392,0,22919,0,0,0,60838,Done ,37.72
136,The APP ART,,THEAPP-1841,Feature,Done,04.08.2022 16:51:36,,,07.09.2022 10:57:30,07.09.2022 10:57:30,0,48605,0,0,0,0,0,83747,Won't Do ,33.75
137,The APP ART,,THEAPP-1840,Feature,Done,03.08.2022 14:05:40,BOND|Griffin|VICI|,,31.08.2022 10:43:43,31.08.2022 10:43:43,0,40118,0,0,0,0,0,93841,Won't Do ,27.86
149,The APP ART,,THEAPP-1816,Feature,E2E Test,25.07.2022 11:11:31,App ART Funnel|CR|Greatwall|Release 3.2|Release 4.0|SPECTRE|,,25.07.2022 13:39:08,28.09.2022 10:01:59,0,21530,0,96694,0,0,0,28867,Done ,82.1
150,The APP ART,,THEAPP-1815,Feature,Done,22.07.2022 16:49:49,BOND|,,02.08.2022 17:06:24,18.10.2022 11:48:53,0,15856,29751,80809,0,0,0,24656,Done ,87.79
160,The APP ART,,THEAPP-1795,Feature,Done,03.07.2022 12:59:17,Greatwall|,,05.07.2022 10:49:31,28.09.2022 16:02:51,0,2750,122713,0,0,0,0,53202,Won't Do ,87.13
161,The APP ART,,THEAPP-1794,Feature,Blocker,03.07.2022 12:56:55,Greatwall|,,05.07.2022 10:50:15,20.09.2022 11:19:44,0,2753,110897,12,63727,0,0,1277,Done ,123.19
188,The APP ART,,THEAPP-1761,Feature,Completed,10.06.2022 15:16:12,VICI|,,23.06.2022 10:03:57,14.07.2022 18:36:20,0,18486,27374,3298,0,162488,0,0, ,34.14
199,The APP ART,,THEAPP-1750,Feature,Done,03.06.2022 11:09:36,,,03.08.2022 15:14:14,03.08.2022 15:14:14,0,88084,0,0,0,0,0,133891,Won't Do ,61.17
201,The APP ART,,THEAPP-1747,Feature,Done,01.06.2022 17:50:58,BOND|VICI|,,04.08.2022 11:04:38,07.09.2022 17:45:57,0,134075,0,0,7038,0,0,83339,Won't Do ,98.0
