,Project,Group,Key,Issuetype,Status,Created Date,Component,Category,First Date,Res,Closed Date,Funnel,In Analysis,Backlog,In Implementation,Blocker,Completed,Monitoring,Done,Resolution
126,The APP ART,,THEAPP-1863,Feature,Done,16.08.2022 15:36,Pikachu|,,07.09.2022 10:48,Done ,23.09.2022 08:47,0,31392,0,22919,0,0,0,60838,Done 
149,The APP ART,,THEAPP-1816,Feature,E2E Test,25.07.2022 11:11,App ART Funnel|CR|Greatwall|Release 3.2|Release 4.0|SPECTRE|,,25.07.2022 13:39,Done ,28.09.2022 10:01,0,21530,0,96694,0,0,0,28867,Done 
150,The APP ART,,THEAPP-1815,Feature,Done,22.07.2022 16:49,BOND|,,02.08.2022 17:06,Done ,18.10.2022 11:48,0,15856,29751,80809,0,0,0,24656,Done 
161,The APP ART,,THEAPP-1794,Feature,Blocker,03.07.2022 12:56,Greatwall|,,05.07.2022 10:50,Done ,20.09.2022 11:19,0,2753,110897,12,63727,0,0,1277,Done 
210,The APP ART,,THEAPP-1735,Feature,Done,17.05.2022 16:16,2022|Android|App ART Funnel|Backend|Design|iOS|P&S|Release 2.0|Release 3.0|Release 3.1|Skywalker|Stark|,,05.08.2022 22:31,Done ,05.08.2022 22:31,0,115575,0,0,0,0,0,130573,Done 
211,The APP ART,,THEAPP-1734,Feature,Done,11.05.2022 15:00,App ART Funnel|Lebowski|P&S|,,11.05.2022 15:04,Done ,04.08.2022 15:02,0,3,39021,83375,0,0,0,132462,Done 
214,The APP ART,,THEAPP-1720,Feature,Done,10.05.2022 08:20,Greatwall|,,12.07.2022 11:35,Done ,10.08.2022 15:45,0,90914,0,42010,0,0,0,123779,Done 
219,The APP ART,,THEAPP-1711,Feature,Done,27.04.2022 08:18,,,27.06.2022 19:14,Done ,10.08.2022 11:27,0,151389,0,0,0,0,0,124037,Done 
227,The APP ART,,THEAPP-1687,Feature,Done,13.04.2022 08:06,Greatwall|,,15.04.2022 11:20,Done ,10.08.2022 15:47,0,3073,95238,73508,0,0,0,123777,Done 
229,The APP ART,,THEAPP-1681,Feature,Done,11.04.2022 09:16,Greatwall|,,12.04.2022 11:13,Done ,06.07.2022 15:53,0,1557,0,122680,0,0,0,174171,Done 
230,The APP ART,,THEAPP-1678,Feature,Done,07.04.2022 14:24,Stromberg|,,19.04.2022 09:23,Done ,05.08.2022 22:39,0,16978,30828,125486,0,0,0,130565,Done 
