,Project,Group,Key,Issuetype,Status,Created Date,Component,Category,First Date,Closed Date,Funnel,In Analysis,Backlog,In Implementation,Blocker,Completed,Monitoring,Done,Resolution 
0,The APP ART,,THEAPP-2040,Feature,Funnel,24.10.2022 08:37:19,Android|App ART Funnel|C3PO|iOS|,,,,16208,0,0,0,0,0,0, ,
1,The APP ART,,THEAPP-2039,Feature,Funnel,24.10.2022 06:15:21,Panda|,,,,16349,0,0,0,0,0,0, ,
2,The APP ART,,THEAPP-2038,Feature,Funnel,24.10.2022 04:07:58,Greatwall|,,,,16477,0,0,0,0,0,0, ,
3,The APP ART,,THEAPP-2035,Feature,Funnel,21.10.2022 09:01:05,Greatwall|,,,,20504,0,0,0,0,0,0, ,
4,The APP ART,,THEAPP-2034,Feature,Funnel,20.10.2022 19:12:06,JARVIS|,,,,21333,0,0,0,0,0,0, ,
5,The APP ART,,THEAPP-2033,Feature,Funnel,20.10.2022 11:49:08,,,,,21776,0,0,0,0,0,0, ,
6,The APP ART,,THEAPP-2032,Feature,Funnel,20.10.2022 10:37:21,Panda|,,,,21847,0,0,0,0,0,0, ,
7,The APP ART,,THEAPP-2030,Feature,Funnel,19.10.2022 17:38:08,Android|App ART Funnel|C3PO|iOS|,,,,22867,0,0,0,0,0,0, ,
8,The APP ART,,THEAPP-2029,Feature,Funnel,19.10.2022 17:25:30,Android|C3PO|iOS|Mario|,,,,22879,0,0,0,0,0,0, ,
9,The APP ART,,THEAPP-2028,Feature,Funnel,19.10.2022 17:17:38,Android|App ART Funnel|C3PO|iOS|,,,,22887,0,0,0,0,0,0, ,
10,The APP ART,,THEAPP-2027,Feature,Backlog,19.10.2022 14:11:13,App ART Funnel|BOND|P&S|Release 3.2|,,19.10.2022 14:50:29,,0,39,23034,0,0,0,0,0, 
11,The APP ART,,THEAPP-2026,Feature,Backlog,19.10.2022 14:08:51,App ART Funnel|BOND|P&S|Release 3.2|,,19.10.2022 14:50:14,,0,41,23034,0,0,0,0,0, 
12,The APP ART,,THEAPP-2023,Feature,Funnel,19.10.2022 09:37:20,Greatwall|Panda|Release 4.0|,,,,23347,0,0,0,0,0,0, ,
13,The APP ART,,THEAPP-2022,Feature,Funnel,17.10.2022 16:01:09,,,,,25844,0,0,0,0,0,0, ,
14,The APP ART,,THEAPP-2021,Feature,Funnel,17.10.2022 10:13:13,Griffin|,,,,26192,0,0,0,0,0,0, ,
15,The APP ART,,THEAPP-2017,Feature,Funnel,11.10.2022 13:24:05,Pikachu|,,,,34641,0,0,0,0,0,0, ,
16,The APP ART,,THEAPP-2016,Feature,Funnel,11.10.2022 11:06:46,Panda|,,,,34778,0,0,0,0,0,0, ,
17,The APP ART,,THEAPP-2015,Feature,Funnel,11.10.2022 10:49:08,Panda|,,,,34796,0,0,0,0,0,0, ,
18,The APP ART,,THEAPP-2014,Feature,Funnel,11.10.2022 10:38:11,Panda|,,,,34807,0,0,0,0,0,0, ,
19,The APP ART,,THEAPP-2013,Feature,Funnel,11.10.2022 10:16:54,Stromberg|,,,,34828,0,0,0,0,0,0, ,
20,The APP ART,,THEAPP-2012,Feature,Funnel,11.10.2022 09:24:54,Pikachu|,,,,34880,0,0,0,0,0,0, ,
21,The APP ART,,THEAPP-2011,Feature,Funnel,11.10.2022 09:21:54,Pikachu|,,,,34883,0,0,0,0,0,0, ,
22,The APP ART,,THEAPP-2010,Feature,Funnel,11.10.2022 08:32:17,Stromberg|,,,,34933,0,0,0,0,0,0, ,
23,The APP ART,,THEAPP-2009,Feature,Funnel,11.10.2022 08:27:31,Stromberg|,,,,34937,0,0,0,0,0,0, ,
24,The APP ART,,THEAPP-2008,Feature,Done,11.10.2022 08:24:04,,,11.10.2022 09:49:05,11.10.2022 09:49:05,0,85,0,0,0,0,0,34856,Won't Do 
25,The APP ART,,THEAPP-2007,Feature,Funnel,10.10.2022 17:56:49,Stromberg|,,,,35808,0,0,0,0,0,0, ,
26,The APP ART,,THEAPP-2006,Feature,Funnel,10.10.2022 17:55:15,Stromberg|,,,,35810,0,0,0,0,0,0, ,
27,The APP ART,,THEAPP-2005,Feature,Funnel,10.10.2022 17:50:48,Stromberg|,,,,35814,0,0,0,0,0,0, ,
28,The APP ART,,THEAPP-2004,Feature,Funnel,10.10.2022 17:41:13,,,,,35824,0,0,0,0,0,0, ,
29,The APP ART,,THEAPP-2003,Feature,Funnel,10.10.2022 17:06:22,Stark|,,,,35858,0,0,0,0,0,0, ,
30,The APP ART,,THEAPP-2002,Feature,Funnel,10.10.2022 16:56:39,Griffin|,,,,35868,0,0,0,0,0,0, ,
31,The APP ART,,THEAPP-2001,Feature,Funnel,10.10.2022 16:49:44,Griffin|,,,,35875,0,0,0,0,0,0, ,
32,The APP ART,,THEAPP-2000,Feature,Funnel,10.10.2022 16:46:49,Stark|,,,,35878,0,0,0,0,0,0, ,
33,The APP ART,,THEAPP-1999,Feature,Funnel,10.10.2022 16:45:45,Griffin|,,,,35879,0,0,0,0,0,0, ,
34,The APP ART,,THEAPP-1998,Feature,Funnel,10.10.2022 16:42:41,Griffin|,,,,35882,0,0,0,0,0,0, ,
35,The APP ART,,THEAPP-1997,Feature,Funnel,10.10.2022 16:42:23,Mario|,,,,35882,0,0,0,0,0,0, ,
36,The APP ART,,THEAPP-1996,Feature,Funnel,10.10.2022 16:27:51,BOND|,,,,35897,0,0,0,0,0,0, ,
37,The APP ART,,THEAPP-1995,Feature,Funnel,10.10.2022 16:25:25,BOND|,,,,35899,0,0,0,0,0,0, ,
38,The APP ART,,THEAPP-1994,Feature,Funnel,10.10.2022 15:12:56,BOND|,,,,35972,0,0,0,0,0,0, ,
39,The APP ART,,THEAPP-1993,Feature,Funnel,10.10.2022 14:50:25,BOND|,,,,35994,0,0,0,0,0,0, ,
40,The APP ART,,THEAPP-1992,Feature,Funnel,10.10.2022 14:19:59,BOND|,,,,36025,0,0,0,0,0,0, ,
41,The APP ART,,THEAPP-1991,Feature,Funnel,10.10.2022 14:09:11,,,,,36036,0,0,0,0,0,0, ,
42,The APP ART,,THEAPP-1990,Feature,Funnel,10.10.2022 11:49:28,iOS|Mario|,,,,36175,0,0,0,0,0,0, ,
43,The APP ART,,THEAPP-1989,Feature,Funnel,10.10.2022 11:08:29,Mario|,,,,36216,0,0,0,0,0,0, ,
44,The APP ART,,THEAPP-1987,Feature,Funnel,07.10.2022 09:12:13,Android|BOND|iOS|,,,,40653,0,0,0,0,0,0, ,
45,The APP ART,,THEAPP-1986,Feature,Funnel,06.10.2022 14:54:19,App ART Funnel|BOND|Release 4.0|,,,,41751,0,0,0,0,0,0, ,
46,The APP ART,,THEAPP-1985,Feature,Funnel,06.10.2022 14:35:25,App ART Funnel|BOND|Release 4.0|,,,,41769,0,0,0,0,0,0, ,
47,The APP ART,,THEAPP-1984,Feature,Funnel,06.10.2022 13:04:35,,,,,41860,0,0,0,0,0,0, ,
48,The APP ART,,THEAPP-1981,Feature,Funnel,30.09.2022 15:14:32,App ART Funnel|BOND|Release 4.0|,,,,50370,0,0,0,0,0,0, ,
49,The APP ART,,THEAPP-1977,Feature,Funnel,30.09.2022 15:03:26,App ART Funnel|BOND|Release 4.0|,,,,50381,0,0,0,0,0,0, ,
50,The APP ART,,THEAPP-1976,Feature,Funnel,30.09.2022 15:02:08,App ART Funnel|BOND|Release 4.0|,,,,50383,0,0,0,0,0,0, ,
51,The APP ART,,THEAPP-1975,Feature,Funnel,30.09.2022 15:00:53,App ART Funnel|BOND|Release 4.0|,,,,50384,0,0,0,0,0,0, ,
52,The APP ART,,THEAPP-1974,Feature,Funnel,30.09.2022 14:59:29,App ART Funnel|BOND|Release 4.0|,,,,50385,0,0,0,0,0,0, ,
53,The APP ART,,THEAPP-1973,Feature,Funnel,30.09.2022 14:57:13,App ART Funnel|BOND|Release 4.0|,,,,50388,0,0,0,0,0,0, ,
54,The APP ART,,THEAPP-1972,Feature,Funnel,30.09.2022 14:55:46,App ART Funnel|BOND|Release 4.0|,,,,50389,0,0,0,0,0,0, ,
55,The APP ART,,THEAPP-1971,Feature,Funnel,30.09.2022 14:53:15,App ART Funnel|BOND|Release 4.0|,,,,50392,0,0,0,0,0,0, ,
