Project,Group,Key,Issuetype,Status,Created Date,Component,Category,First Date,Closed Date,New,In Specification,Open,In Progress,In Review,Pending,Resolved,Closed,Resolution
Transformation Product Accounts Payable,,TRANSAP-38,Story,New,05.04.2022 15:43:12,Dokumentenmanagement|Prozess-MGMT agile Transformation|,,,,594690,0,0,0,0,0,0,
PKT Test Data Management,,PKTTDM-590,Task,In Review,03.02.2023 15:30:09,PFQ|,,06.02.2023 16:16:31,,4366,0,0,1156,151420,0,0,0,
PKT Rekla 2025,,PKTREKLA-8875,Defect,Closed,14.09.2022 11:29:34,BCM|Defect_PROTON|,,14.09.2022 11:57:47,18.01.2023 13:02:00,28,0,0,132657,0,0,48846,180131,Fixed
PKT Rekla 2025,,PKTREKLA-6129,Defect,Closed,05.04.2022 07:41:54,Defect_PROTON|,,31.05.2022 18:36:19,30.06.2022 16:17:35,81294,0,0,0,39161,0,3898,470817,Duplicate
PROTON R/3 - S/4 HANA Migration,,PKTMIGR-504,Defect,Closed,17.02.2022 11:52:09,,,31.08.2022 16:01:07,31.08.2022 16:01:07,281048,0,0,0,0,0,0,381552,Rejected
PKT 2025 - Cluster FI,,PKTFIN-14024,Defect,In Progress,04.05.2023 14:12:36,AP|PKTFIN|PKTFIN relevant|,,04.05.2023 23:16:07,,543,0,0,26877,0,0,0,0,
PKT 2025 - Cluster FI,,PKTFIN-14023,Defect,New,04.05.2023 14:10:22,AP|PKTFIN|PKTFIN relevant|,,,,27423,0,0,0,0,0,0,
PKT 2025 - Cluster FI,,PKTFIN-14014,Test,In Progress,03.05.2023 16:42:33,AP|PKTFIN|,,03.05.2023 16:42:54,,0,0,0,28710,0,0,0,0,
PKT 2025 - Cluster FI,,PKTFIN-14013,Test,In Progress,03.05.2023 16:42:22,AP|PKTFIN|,,03.05.2023 16:42:52,,0,0,0,28710,0,0,0,0,
PKT 2025 - Cluster FI,,PKTFIN-14012,Test,In Progress,03.05.2023 16:42:14,AP|PKTFIN|,,03.05.2023 16:42:50,,0,0,0,28711,0,0,0,0,
PKT 2025 - Cluster FI,,PKTFIN-14011,Test,In Progress,03.05.2023 16:42:05,AP|PKTFIN|,,03.05.2023 16:42:49,,0,0,0,28711,0,0,0,0,
PKT 2025 - Cluster FI,,PKTFIN-14010,Test,In Progress,03.05.2023 16:41:57,AP|PKTFIN|,,03.05.2023 16:42:47,,0,0,0,28711,0,0,0,0,
